"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Bolte, Henry",703607,2026,364,226,0.269,0.243,0.026,0.368,0.354,0.014,0.32,0.303,0.017
"Soler, Jorge",624585,2026,361,202,0.203,0.206,-0.003,0.373,0.362,0.011,0.295,0.294,0.001
"Lowe, Nathaniel",663993,2026,360,242,0.259,0.265,-0.006,0.463,0.436,0.027,0.339,0.332,0.007
"Manzardo, Kyle",700932,2026,356,200,0.215,0.22,-0.005,0.378,0.38,-0.002,0.305,0.307,-0.002
"Alvarez, Francisco",682626,2026,355,205,0.234,0.228,0.006,0.397,0.422,-0.025,0.318,0.322,-0.004
"Rengifo, Luis",650859,2026,354,268,0.24,0.253,-0.013,0.317,0.345,-0.028,0.289,0.304,-0.015
"Loftin, Nick",679845,2026,354,256,0.237,0.227,0.01,0.385,0.331,0.054,0.316,0.295,0.021
"Crews, Dylan",686611,2026,353,236,0.22,0.236,-0.016,0.363,0.409,-0.046,0.291,0.311,-0.02
"Chapman, Matt",656305,2026,352,229,0.235,0.21,0.025,0.368,0.319,0.049,0.309,0.286,0.023
"Lindor, Francisco",596019,2026,351,245,0.231,0.242,-0.011,0.42,0.444,-0.024,0.324,0.337,-0.013
"Torres, Gleyber",650402,2026,350,236,0.261,0.25,0.011,0.381,0.373,0.008,0.334,0.325,0.009
"Goldschmidt, Paul",502671,2026,348,236,0.248,0.237,0.011,0.459,0.423,0.036,0.332,0.313,0.019
"Basallo, Samuel",694212,2026,348,224,0.231,0.235,-0.004,0.43,0.447,-0.017,0.314,0.321,-0.007
"Yastrzemski, Mike",573262,2026,346,223,0.222,0.235,-0.013,0.369,0.366,0.003,0.301,0.308,-0.007
"Ortiz, Joey",687401,2026,345,250,0.252,0.238,0.014,0.38,0.341,0.039,0.308,0.296,0.012
